# (1) ID
# (2) File
# (3) Description
# (4) Type
# (5) units
1,map.CS.NAME_NORM_0_ssp.fits.gz,Luminosity Fraction for age-met 0.0010-0.0037 SSP, flux, fraction
2,map.CS.NAME_NORM_1_ssp.fits.gz,Luminosity Fraction for age-met 0.0010-0.0076 SSP, flux, fraction
3,map.CS.NAME_NORM_2_ssp.fits.gz,Luminosity Fraction for age-met 0.0010-0.0190 SSP, flux, fraction
4,map.CS.NAME_NORM_3_ssp.fits.gz,Luminosity Fraction for age-met 0.0010-0.0315 SSP, flux, fraction
5,map.CS.NAME_NORM_4_ssp.fits.gz,Luminosity Fraction for age-met 0.0040-0.0037 SSP, flux, fraction
6,map.CS.NAME_NORM_5_ssp.fits.gz,Luminosity Fraction for age-met 0.0040-0.0076 SSP, flux, fraction
7,map.CS.NAME_NORM_6_ssp.fits.gz,Luminosity Fraction for age-met 0.0040-0.0190 SSP, flux, fraction
8,map.CS.NAME_NORM_7_ssp.fits.gz,Luminosity Fraction for age-met 0.0040-0.0315 SSP, flux, fraction
9,map.CS.NAME_NORM_8_ssp.fits.gz,Luminosity Fraction for age-met 0.0030-0.0037 SSP, flux, fraction
10,map.CS.NAME_NORM_9_ssp.fits.gz,Luminosity Fraction for age-met 0.0030-0.0076 SSP, flux, fraction
11,map.CS.NAME_NORM_10_ssp.fits.gz,Luminosity Fraction for age-met 0.0030-0.0190 SSP, flux, fraction
12,map.CS.NAME_NORM_11_ssp.fits.gz,Luminosity Fraction for age-met 0.0030-0.0315 SSP, flux, fraction
13,map.CS.NAME_NORM_12_ssp.fits.gz,Luminosity Fraction for age-met 0.0056-0.0037 SSP, flux, fraction
14,map.CS.NAME_NORM_13_ssp.fits.gz,Luminosity Fraction for age-met 0.0056-0.0076 SSP, flux, fraction
15,map.CS.NAME_NORM_14_ssp.fits.gz,Luminosity Fraction for age-met 0.0056-0.0190 SSP, flux, fraction
16,map.CS.NAME_NORM_15_ssp.fits.gz,Luminosity Fraction for age-met 0.0056-0.0315 SSP, flux, fraction
17,map.CS.NAME_NORM_16_ssp.fits.gz,Luminosity Fraction for age-met 0.0089-0.0037 SSP, flux, fraction
18,map.CS.NAME_NORM_17_ssp.fits.gz,Luminosity Fraction for age-met 0.0089-0.0076 SSP, flux, fraction
19,map.CS.NAME_NORM_18_ssp.fits.gz,Luminosity Fraction for age-met 0.0089-0.0190 SSP, flux, fraction
20,map.CS.NAME_NORM_19_ssp.fits.gz,Luminosity Fraction for age-met 0.0089-0.0315 SSP, flux, fraction
21,map.CS.NAME_NORM_20_ssp.fits.gz,Luminosity Fraction for age-met 0.0126-0.0037 SSP, flux, fraction
22,map.CS.NAME_NORM_21_ssp.fits.gz,Luminosity Fraction for age-met 0.0126-0.0076 SSP, flux, fraction
23,map.CS.NAME_NORM_22_ssp.fits.gz,Luminosity Fraction for age-met 0.0126-0.0190 SSP, flux, fraction
24,map.CS.NAME_NORM_23_ssp.fits.gz,Luminosity Fraction for age-met 0.0126-0.0315 SSP, flux, fraction
25,map.CS.NAME_NORM_24_ssp.fits.gz,Luminosity Fraction for age-met 0.0141-0.0037 SSP, flux, fraction
26,map.CS.NAME_NORM_25_ssp.fits.gz,Luminosity Fraction for age-met 0.0141-0.0076 SSP, flux, fraction
27,map.CS.NAME_NORM_26_ssp.fits.gz,Luminosity Fraction for age-met 0.0141-0.0190 SSP, flux, fraction
28,map.CS.NAME_NORM_27_ssp.fits.gz,Luminosity Fraction for age-met 0.0141-0.0315 SSP, flux, fraction
29,map.CS.NAME_NORM_28_ssp.fits.gz,Luminosity Fraction for age-met 0.0178-0.0037 SSP, flux, fraction
30,map.CS.NAME_NORM_29_ssp.fits.gz,Luminosity Fraction for age-met 0.0178-0.0076 SSP, flux, fraction
31,map.CS.NAME_NORM_30_ssp.fits.gz,Luminosity Fraction for age-met 0.0178-0.0190 SSP, flux, fraction
32,map.CS.NAME_NORM_31_ssp.fits.gz,Luminosity Fraction for age-met 0.0178-0.0315 SSP, flux, fraction
33,map.CS.NAME_NORM_32_ssp.fits.gz,Luminosity Fraction for age-met 0.0199-0.0037 SSP, flux, fraction
34,map.CS.NAME_NORM_33_ssp.fits.gz,Luminosity Fraction for age-met 0.0199-0.0076 SSP, flux, fraction
35,map.CS.NAME_NORM_34_ssp.fits.gz,Luminosity Fraction for age-met 0.0199-0.0190 SSP, flux, fraction
36,map.CS.NAME_NORM_35_ssp.fits.gz,Luminosity Fraction for age-met 0.0199-0.0315 SSP, flux, fraction
37,map.CS.NAME_NORM_36_ssp.fits.gz,Luminosity Fraction for age-met 0.0100-0.0037 SSP, flux, fraction
38,map.CS.NAME_NORM_37_ssp.fits.gz,Luminosity Fraction for age-met 0.0100-0.0076 SSP, flux, fraction
